filename;num_of_correctly_detected;num_of_all_faces;num_of_misdetected
s01e04_79;1;3;0
s01e04_86;1;1;0
s01e11_77;0;2;0
s01e11_89;0;1;0
s01e11_159;0;2;1
s01e11_264;1;2;1
s02e09_80;3;9;0
s02e09_196;1;2;0
s03e15_17;0;3;0
s03e15_231;1;2;0
s04e10_86;1;3;0
s04e10_90;1;3;0
s04e10_96;0;1;0
s04e10_192;1;1;0
s05e02_16;1;2;0
s05e02_96;2;3;0
s05e12_66;0;4;0
s05e14_26;2;2;0
s06e01_45;3;3;0
s06e01_53;0;1;0
s06e01_73;2;2;0
s07e06_9;1;4;0
s07e06_19;1;4;0
s07e06_26;2;2;0
s07e06_53;1;5;0
s07e06_248;1;2;0
s07e06_260;1;2;0
s08e06_82;0;4;0
s09e14_67;2;2;0
s10e08_51;2;2;0
s10e08_80;0;4;0
s10e08_130;4;4;0
s10e08_184;2;2;0
s10e08_225;2;2;0
s10e11_90;2;2;0
s11e09_12;1;2;0
s11e09_27;1;1;0
s11e11_46;0;1;0
s11e13_15;2;2;0
s11e13_66;2;2;0
s12e01_10;1;3;1
s12e01_38;2;3;2
s12e09_82;0;3;1
s13e01_5;1;2;1
s13e01_50;2;2;0
s13e01_159;3;3;2
s13e05_53;1;1;0
s13e05_164;0;2;0
s14e05_56;0;4;0
s15e02_73;5;5;1
s15e06_54;2;4;0
s15e06_89;3;3;2
s15e07_53;2;7;1
s15e07_95;0;2;0
s15e12_18;1;1;0
s15e12_88;1;2;0
s15e14_16;1;1;0
s16e05_46;1;1;0
s16e07_73;0;2;0
s16e07_79;1;2;0
s16e07_144;0;2;0
s16e08_89;1;1;0
s16e12_18;1;1;0
s17e01_82;1;1;0
s17e06_41;3;3;0
s17e06_95;1;1;1
s19e03_12;1;1;0
s19e03_45;1;2;0
s19e03_60;3;4;0
s20e07_66;0;2;0
